observation_id,date,region,soil_type,crop_type,avg_temperature_c,avg_humidity_pct,rainfall_mm,primary_pest_type,pest_severity_score,pest_count_per_plot,treatment_recommended
OBS-00025,2023-05-18,West_Region,Loam,Barley,14.9,86.9,45.0,Armyworms,Low,2,0
OBS-00026,2022-10-21,West_Region,Loam,Corn,25.1,44.9,9.5,Aphids,Low,2,0
OBS-00027,2023-08-21,West_Region,Clay,Barley,39.3,91.3,29.6,Whiteflies,Low,3,0
OBS-00028,2023-11-02,East_Region,Clay,Cotton,15.6,40.2,30.5,Aphids,Low,0,0
OBS-00029,2022-03-17,Central_Valley,Silt,Cotton,34.5,85.7,40.3,Beetles,Low,2,0
OBS-00030,2022-01-05,East_Region,Loam,Rice,32.4,45.6,18.9,Armyworms,Low,3,0
OBS-00031,2023-05-24,Central_Valley,Sandy,Barley,34.1,52.0,15.5,Blight_Spores,Medium,4,1
OBS-00032,2022-02-22,North_Region,Silt,Cotton,10.5,75.1,12.4,Beetles,Low,3,0
OBS-00033,2023-10-30,East_Region,Silt,Wheat,22.3,31.9,29.3,Whiteflies,Low,0,0
OBS-00034,2022-06-06,Central_Valley,Loam,Tomato,21.4,64.3,9.3,Aphids,Low,0,0
OBS-00035,2023-08-02,East_Region,Clay,Wheat,29.3,75.6,5.5,Armyworms,Low,3,0
OBS-00036,2023-03-06,West_Region,Silt,Tomato,10.3,62.7,26.7,Armyworms,Low,3,0
OBS-00037,2022-03-12,Central_Valley,Sandy,Tomato,34.7,64.2,46.8,Beetles,Medium,5,1
OBS-00038,2023-08-31,North_Region,Loam,Corn,22.4,39.3,25.6,Whiteflies,Low,0,0
OBS-00039,2023-11-19,South_Region,Sandy,Barley,38.2,39.9,25.4,Blight_Spores,Low,2,0
OBS-00040,2023-05-11,South_Region,Loam,Corn,29.0,76.6,11.1,Armyworms,Low,3,0
OBS-00041,2022-06-11,South_Region,Clay,Corn,36.7,43.0,8.0,Beetles,Low,2,0
OBS-00042,2023-08-14,North_Region,Silt,Rice,11.6,49.1,49.7,Beetles,Low,2,0
OBS-00043,2023-05-15,East_Region,Clay,Soybean,37.0,92.2,39.3,Aphids,Medium,4,1
OBS-00044,2023-10-06,Central_Valley,Sandy,Barley,38.7,30.8,1.3,Whiteflies,Medium,4,1
OBS-00045,2022-06-13,South_Region,Loam,Wheat,13.5,35.5,18.7,Whiteflies,Low,0,0
OBS-00046,2023-07-29,North_Region,Sandy,Barley,15.0,91.7,12.3,Beetles,Low,1,0
OBS-00047,2022-07-02,South_Region,Silt,Cotton,16.8,39.6,34.9,Whiteflies,Low,3,0
OBS-00048,2022-07-05,Central_Valley,Clay,Wheat,14.1,44.2,20.0,Armyworms,Low,0,0
OBS-00049,2023-04-29,North_Region,Silt,Wheat,32.4,52.2,44.9,Beetles,Medium,4,1
OBS-00050,2022-11-14,North_Region,Clay,Tomato,15.8,33.5,24.0,Aphids,Low,2,0
OBS-00051,2022-12-13,Central_Valley,Clay,Cotton,23.7,90.1,20.6,Aphids,Low,1,0
OBS-00052,2022-12-31,North_Region,Sandy,Corn,18.0,49.1,44.3,Aphids,Low,1,0
OBS-00053,2023-03-24,East_Region,Sandy,Barley,30.6,64.1,37.7,Whiteflies,Low,1,0
OBS-00054,2023-05-21,Central_Valley,Clay,Wheat,23.6,78.5,24.5,Aphids,Low,0,0
OBS-00055,2023-08-12,West_Region,Loam,Tomato,11.0,45.0,16.7,Whiteflies,Low,2,0
OBS-00056,2022-11-06,West_Region,Loam,Soybean,15.6,90.6,24.8,Beetles,Low,0,0
OBS-00057,2023-01-03,Central_Valley,Sandy,Soybean,10.2,91.7,15.0,Whiteflies,Low,2,0
OBS-00058,2023-10-24,East_Region,Clay,Soybean,37.6,68.9,5.0,Whiteflies,Low,3,0
OBS-00059,2022-05-15,West_Region,Loam,Tomato,27.2,39.6,21.3,Aphids,Low,3,0
OBS-00060,2022-02-19,North_Region,Silt,Rice,28.6,37.8,43.0,Beetles,Low,2,0
OBS-00061,2022-08-02,Central_Valley,Loam,Corn,34.6,84.4,26.3,Aphids,Low,1,0
OBS-00062,2023-04-13,East_Region,Sandy,Wheat,12.8,59.0,46.0,Aphids,Low,1,0
OBS-00063,2023-10-06,South_Region,Loam,Wheat,25.0,68.7,25.3,Blight_Spores,Low,0,0
OBS-00064,2023-02-16,South_Region,Loam,Soybean,15.4,84.2,38.0,Aphids,Low,1,0
OBS-00065,2023-01-18,North_Region,Clay,Tomato,20.9,36.3,46.1,Aphids,Low,1,0
OBS-00066,2022-02-02,North_Region,Sandy,Corn,25.0,47.5,36.9,Whiteflies,Low,2,0
OBS-00067,2022-12-19,East_Region,Clay,Wheat,10.6,55.6,11.3,Whiteflies,Low,2,0
OBS-00068,2023-06-16,Central_Valley,Loam,Barley,36.7,47.4,10.4,Blight_Spores,High,9,1
OBS-00069,2022-06-17,West_Region,Clay,Corn,13.4,84.9,35.7,Armyworms,Low,1,0
OBS-00070,2022-01-14,Central_Valley,Loam,Rice,25.4,62.3,11.7,Beetles,Low,1,0
OBS-00071,2022-07-04,South_Region,Silt,Cotton,10.6,57.3,4.2,Whiteflies,Low,0,0
OBS-00072,2022-02-20,Central_Valley,Sandy,Soybean,27.2,78.8,2.1,Beetles,Low,2,0
OBS-00073,2022-12-21,Central_Valley,Sandy,Soybean,17.1,34.2,31.3,Beetles,Low,0,0
OBS-00074,2023-05-17,North_Region,Loam,Barley,29.3,90.2,12.3,Armyworms,Medium,5,1
OBS-00075,2023-11-01,South_Region,Clay,Corn,26.7,65.0,25.6,Whiteflies,Medium,6,1
OBS-00076,2023-06-11,Central_Valley,Silt,Wheat,19.9,36.4,5.2,Armyworms,Low,3,0
OBS-00077,2022-10-24,West_Region,Clay,Barley,33.4,56.4,39.8,Aphids,Low,0,0
OBS-00078,2022-07-23,North_Region,Clay,Tomato,24.8,30.0,31.7,Whiteflies,Low,3,0
OBS-00079,2022-06-27,West_Region,Silt,Cotton,33.2,56.6,47.2,Whiteflies,Low,3,0
OBS-00080,2022-05-21,North_Region,Clay,Barley,38.6,45.5,24.7,Armyworms,Low,2,0
OBS-00081,2022-03-24,South_Region,Silt,Corn,23.7,59.2,20.6,Aphids,Low,0,0
OBS-00082,2022-11-01,West_Region,Clay,Soybean,20.4,38.2,36.6,Whiteflies,Low,1,0
OBS-00083,2022-02-02,East_Region,Clay,Rice,13.1,62.4,1.7,Aphids,Low,1,0
OBS-00084,2023-11-06,Central_Valley,Loam,Cotton,13.9,61.4,37.8,Aphids,Low,0,0
OBS-00085,2022-11-29,Central_Valley,Clay,Soybean,35.4,70.3,18.3,Armyworms,Low,1,0
OBS-00086,2022-05-09,West_Region,Silt,Corn,13.3,37.0,35.7,Beetles,Low,2,0
OBS-00087,2022-05-21,South_Region,Clay,Wheat,20.1,68.5,4.6,Whiteflies,Low,0,0
OBS-00088,2023-10-12,West_Region,Loam,Soybean,36.7,46.8,18.3,Whiteflies,Medium,4,1
OBS-00089,2022-08-20,North_Region,Clay,Tomato,36.1,65.7,6.7,Armyworms,Low,2,0
OBS-00090,2023-06-21,Central_Valley,Loam,Rice,27.5,59.9,48.1,Whiteflies,Low,1,0
OBS-00091,2022-02-08,West_Region,Loam,Tomato,25.6,78.7,22.6,Whiteflies,Low,3,0
OBS-00092,2022-07-26,Central_Valley,Silt,Cotton,10.8,40.4,2.6,Whiteflies,Low,1,0
OBS-00093,2022-03-01,East_Region,Loam,Tomato,18.6,32.8,24.1,Aphids,Medium,4,1
OBS-00094,2023-09-22,Central_Valley,Silt,Rice,32.5,71.7,19.3,Whiteflies,Medium,5,1
OBS-00095,2022-04-09,East_Region,Sandy,Rice,33.9,83.9,50.0,Whiteflies,Medium,5,1
OBS-00096,2022-10-06,South_Region,Silt,Tomato,27.1,70.9,24.8,Whiteflies,Medium,6,1
OBS-00097,2022-05-16,West_Region,Silt,Rice,29.9,94.6,5.6,Aphids,Low,3,0
OBS-00098,2022-06-30,East_Region,Sandy,Tomato,21.9,77.0,45.2,Aphids,Low,2,0
OBS-00099,2023-08-26,Central_Valley,Clay,Barley,20.4,78.1,20.3,Armyworms,Medium,5,1
OBS-00100,2022-03-20,South_Region,Silt,Soybean,23.0,31.0,39.6,Whiteflies,Low,0,0
OBS-00101,2022-05-26,South_Region,Clay,Soybean,37.0,80.3,39.2,Whiteflies,Medium,5,1
OBS-00102,2023-03-29,East_Region,Sandy,Corn,23.9,91.9,30.1,Blight_Spores,High,7,1
OBS-00103,2023-07-24,South_Region,Loam,Wheat,13.7,92.4,44.9,Blight_Spores,Low,0,0
OBS-00104,2022-07-29,Central_Valley,Clay,Cotton,35.9,55.1,18.5,Armyworms,Medium,4,1
OBS-00105,2022-09-29,North_Region,Sandy,Corn,27.4,48.1,12.5,Beetles,Low,3,0
OBS-00106,2022-08-22,South_Region,Clay,Cotton,39.8,69.6,4.0,Beetles,Low,2,0
OBS-00107,2023-11-25,South_Region,Clay,Cotton,22.9,80.3,12.1,Whiteflies,Low,1,0
OBS-00108,2022-01-24,South_Region,Silt,Soybean,18.6,77.8,11.4,Armyworms,Low,2,0
OBS-00109,2023-11-04,South_Region,Clay,Rice,17.6,51.8,49.3,Aphids,Low,1,0
OBS-00110,2022-12-02,East_Region,Loam,Soybean,38.8,45.7,34.8,Beetles,Low,1,0
OBS-00111,2022-05-13,West_Region,Clay,Wheat,25.4,50.6,14.7,Blight_Spores,Low,2,0
OBS-00112,2023-09-30,West_Region,Silt,Soybean,34.8,70.1,38.2,Whiteflies,High,8,1
OBS-00113,2022-07-03,West_Region,Silt,Soybean,10.6,65.8,1.5,Blight_Spores,Low,0,0
OBS-00114,2023-05-06,Central_Valley,Loam,Corn,27.5,54.9,34.7,Armyworms,Low,1,0
OBS-00115,2022-10-22,West_Region,Loam,Wheat,30.6,47.2,44.1,Armyworms,Low,1,0
OBS-00116,2022-09-26,East_Region,Silt,Corn,17.2,63.7,22.2,Armyworms,Low,0,0
OBS-00117,2022-01-22,Central_Valley,Clay,Corn,23.1,84.0,1.3,Whiteflies,Low,3,0
OBS-00118,2023-02-17,Central_Valley,Clay,Corn,29.0,71.1,23.9,Beetles,Medium,5,1
OBS-00119,2022-04-27,East_Region,Loam,Rice,21.7,31.2,18.7,Armyworms,Low,0,0
OBS-00120,2022-04-18,East_Region,Silt,Wheat,26.9,89.4,18.8,Beetles,Low,2,0
OBS-00121,2022-09-02,Central_Valley,Silt,Soybean,25.5,87.3,46.0,Blight_Spores,Low,0,0
OBS-00122,2022-04-15,West_Region,Loam,Barley,38.1,58.4,14.5,Armyworms,Medium,4,1
OBS-00123,2023-08-22,South_Region,Clay,Wheat,34.5,38.9,41.2,Beetles,Medium,5,1
OBS-00124,2023-07-24,East_Region,Sandy,Rice,14.5,92.5,36.1,Whiteflies,Low,2,0
OBS-00125,2023-03-25,North_Region,Loam,Barley,12.3,66.3,32.3,Blight_Spores,Low,0,0
OBS-00126,2022-09-05,South_Region,Silt,Rice,30.8,73.4,10.2,Armyworms,Low,1,0
OBS-00127,2023-02-01,South_Region,Sandy,Soybean,36.5,64.4,13.1,Blight_Spores,Medium,4,1
OBS-00128,2022-12-03,East_Region,Silt,Rice,25.3,83.1,42.6,Armyworms,Medium,4,1
OBS-00129,2022-03-12,South_Region,Loam,Soybean,22.7,50.4,4.4,Aphids,Low,1,0
OBS-00130,2023-02-24,Central_Valley,Sandy,Cotton,32.8,35.8,46.3,Blight_Spores,Low,2,0
OBS-00131,2022-01-26,West_Region,Clay,Cotton,35.6,87.4,2.9,Beetles,Medium,5,1
OBS-00132,2022-07-11,East_Region,Clay,Soybean,34.2,48.5,26.5,Whiteflies,Low,1,0
OBS-00133,2022-05-26,North_Region,Sandy,Soybean,24.6,41.9,19.8,Aphids,Low,1,0
OBS-00134,2023-11-20,South_Region,Clay,Cotton,19.3,89.6,26.2,Whiteflies,Low,1,0
OBS-00135,2022-01-21,North_Region,Sandy,Tomato,23.9,48.6,13.1,Beetles,Low,2,0
OBS-00136,2023-05-18,Central_Valley,Clay,Cotton,26.6,81.5,13.0,Aphids,Low,2,0
OBS-00137,2022-11-08,North_Region,Sandy,Tomato,21.2,37.9,15.8,Armyworms,Low,2,0
OBS-00138,2023-02-16,Central_Valley,Loam,Rice,22.4,76.8,2.0,Aphids,Medium,5,1
OBS-00139,2022-07-27,South_Region,Sandy,Soybean,30.8,49.1,14.1,Whiteflies,Low,3,0
OBS-00140,2023-07-20,West_Region,Sandy,Soybean,30.3,70.5,38.2,Beetles,Low,2,0
OBS-00141,2023-07-24,South_Region,Clay,Tomato,31.5,36.9,33.5,Beetles,Low,3,0
OBS-00142,2022-10-23,South_Region,Silt,Cotton,19.1,67.4,24.9,Blight_Spores,Low,0,0
OBS-00143,2022-05-31,East_Region,Sandy,Soybean,39.6,60.4,3.3,Whiteflies,Medium,5,1
OBS-00144,2023-07-24,South_Region,Sandy,Cotton,21.8,44.8,16.3,Blight_Spores,Low,1,0
OBS-00145,2022-09-29,Central_Valley,Loam,Wheat,10.7,61.9,13.3,Beetles,Low,0,0
OBS-00146,2023-02-09,Central_Valley,Silt,Soybean,39.6,40.0,45.1,Whiteflies,Medium,4,1
OBS-00147,2022-02-12,West_Region,Loam,Cotton,19.7,93.1,11.0,Armyworms,Low,2,0
OBS-00148,2022-07-15,East_Region,Sandy,Corn,13.6,93.1,1.4,Whiteflies,Low,3,0
OBS-00149,2022-12-13,Central_Valley,Sandy,Soybean,11.1,55.7,31.9,Whiteflies,Low,0,0
OBS-00150,2023-11-25,East_Region,Silt,Wheat,27.2,60.4,38.3,Beetles,Low,3,0
OBS-00151,2023-04-12,North_Region,Clay,Soybean,15.0,59.7,2.1,Beetles,Low,1,0
OBS-00152,2023-07-09,West_Region,Loam,Cotton,37.1,79.3,12.9,Whiteflies,High,7,1
OBS-00153,2023-03-30,West_Region,Sandy,Wheat,36.2,73.3,31.7,Beetles,Medium,4,1
OBS-00154,2022-06-21,West_Region,Sandy,Cotton,39.9,73.3,40.6,Blight_Spores,Low,2,0
OBS-00155,2023-10-08,West_Region,Silt,Rice,32.2,56.1,24.8,Whiteflies,Low,2,0
OBS-00156,2023-05-10,South_Region,Sandy,Rice,37.5,45.9,34.7,Aphids,Low,1,0
OBS-00157,2023-03-14,North_Region,Silt,Barley,18.1,46.9,28.4,Beetles,Low,2,0
OBS-00158,2023-06-20,Central_Valley,Clay,Cotton,25.4,92.8,28.2,Aphids,Medium,4,1
OBS-00159,2022-04-23,Central_Valley,Sandy,Cotton,11.7,80.1,8.2,Beetles,Medium,5,1
OBS-00160,2022-12-23,East_Region,Loam,Barley,26.2,42.6,39.3,Aphids,Low,0,0
OBS-00161,2022-07-12,North_Region,Loam,Soybean,15.5,84.6,31.2,Blight_Spores,Low,1,0
OBS-00162,2022-06-05,South_Region,Loam,Soybean,23.9,35.2,43.2,Armyworms,Low,1,0
OBS-00163,2023-03-18,Central_Valley,Clay,Barley,14.0,58.7,28.2,Aphids,Low,0,0
OBS-00164,2023-03-20,Central_Valley,Loam,Soybean,10.5,30.9,21.3,Whiteflies,Low,1,0
OBS-00165,2022-08-08,North_Region,Sandy,Corn,27.9,89.7,16.0,Blight_Spores,Medium,4,1
OBS-00166,2023-10-30,Central_Valley,Silt,Soybean,38.6,45.1,11.5,Aphids,Medium,6,1
OBS-00167,2022-04-24,East_Region,Loam,Barley,33.2,63.9,12.7,Aphids,Low,2,0
OBS-00168,2022-05-20,North_Region,Sandy,Tomato,25.5,77.1,9.9,Armyworms,Medium,6,1
OBS-00169,2023-08-09,Central_Valley,Clay,Corn,20.2,90.6,26.5,Armyworms,Medium,4,1
OBS-00170,2022-02-03,Central_Valley,Loam,Soybean,18.2,56.9,42.1,Aphids,Low,1,0
OBS-00171,2022-09-06,South_Region,Clay,Rice,38.2,37.7,45.4,Whiteflies,Low,3,0
OBS-00172,2022-05-02,East_Region,Silt,Barley,39.0,48.9,47.7,Blight_Spores,Medium,5,1
OBS-00173,2022-08-04,West_Region,Loam,Barley,11.2,32.8,7.1,Beetles,Low,1,0
OBS-00174,2022-11-07,East_Region,Sandy,Corn,26.6,35.9,0.4,Aphids,Low,1,0
OBS-00175,2022-01-07,East_Region,Sandy,Tomato,26.5,48.8,5.5,Whiteflies,Low,3,0
OBS-00176,2023-10-08,East_Region,Sandy,Cotton,36.4,37.2,37.4,Aphids,Low,0,0
OBS-00177,2023-11-21,North_Region,Clay,Wheat,27.0,56.0,5.5,Aphids,Low,2,0
OBS-00178,2023-04-30,Central_Valley,Loam,Soybean,15.5,70.0,27.7,Blight_Spores,Low,0,0
OBS-00179,2022-02-16,North_Region,Clay,Tomato,19.8,74.8,4.9,Blight_Spores,Medium,5,1
OBS-00180,2023-09-06,Central_Valley,Loam,Wheat,16.1,60.0,10.6,Aphids,Low,1,0
OBS-00181,2023-11-16,Central_Valley,Loam,Cotton,14.5,52.9,49.2,Beetles,Low,1,0
OBS-00182,2023-03-07,South_Region,Sandy,Rice,19.7,73.1,47.3,Beetles,Low,3,0
OBS-00183,2022-10-21,South_Region,Sandy,Wheat,11.0,80.3,48.2,Blight_Spores,Low,0,0
OBS-00184,2022-01-08,West_Region,Silt,Corn,19.4,53.2,0.4,Blight_Spores,Low,0,0
OBS-00185,2023-11-09,East_Region,Clay,Corn,15.9,54.2,15.2,Aphids,Low,0,0
OBS-00186,2023-09-23,West_Region,Silt,Cotton,28.1,31.8,19.8,Whiteflies,Medium,5,1
OBS-00187,2023-07-30,West_Region,Silt,Wheat,29.8,89.8,20.8,Aphids,Medium,5,1
OBS-00188,2022-07-26,North_Region,Silt,Barley,25.8,73.9,19.6,Armyworms,Medium,5,1
OBS-00189,2023-02-21,West_Region,Loam,Tomato,39.7,47.9,49.6,Armyworms,Medium,4,1
OBS-00190,2022-07-29,South_Region,Sandy,Wheat,35.3,37.3,11.9,Aphids,High,7,1
OBS-00191,2023-06-03,East_Region,Sandy,Corn,30.6,64.4,42.5,Aphids,Medium,4,1
OBS-00192,2023-01-05,West_Region,Loam,Rice,10.5,88.7,22.9,Aphids,Low,1,0
OBS-00193,2023-02-04,South_Region,Silt,Soybean,36.3,80.8,21.0,Armyworms,Low,2,0
OBS-00194,2022-01-16,South_Region,Loam,Tomato,28.5,61.2,16.3,Blight_Spores,Medium,5,1
OBS-00195,2022-01-11,West_Region,Clay,Wheat,11.0,49.8,5.1,Beetles,Low,1,0
OBS-00196,2022-03-27,South_Region,Sandy,Wheat,22.0,62.4,9.6,Blight_Spores,Low,1,0
OBS-00197,2022-06-06,East_Region,Sandy,Cotton,36.0,46.6,1.4,Whiteflies,Medium,6,1
OBS-00198,2022-12-05,Central_Valley,Sandy,Rice,15.9,56.6,42.4,Beetles,Low,2,0
OBS-00199,2023-05-22,North_Region,Sandy,Soybean,25.2,78.7,16.6,Beetles,Low,1,0
OBS-00200,2023-09-29,East_Region,Loam,Barley,39.5,78.6,30.0,Armyworms,Medium,6,1
OBS-00201,2022-04-18,North_Region,Silt,Rice,28.6,48.3,20.0,Aphids,Medium,4,1
OBS-00202,2022-10-22,North_Region,Sandy,Barley,28.2,76.7,4.3,Armyworms,High,7,1
OBS-00203,2022-03-09,West_Region,Loam,Wheat,14.2,78.5,11.9,Beetles,Low,2,0
OBS-00204,2022-04-20,West_Region,Clay,Soybean,16.8,80.9,45.7,Aphids,Low,1,0
OBS-00205,2022-08-28,Central_Valley,Clay,Barley,26.6,57.1,9.4,Armyworms,Low,2,0
OBS-00206,2022-06-18,South_Region,Clay,Barley,20.2,78.5,13.2,Aphids,Low,1,0
OBS-00207,2022-01-21,North_Region,Loam,Rice,33.3,41.5,31.2,Armyworms,Low,3,0
OBS-00208,2022-02-18,East_Region,Silt,Wheat,35.5,32.1,23.6,Armyworms,Low,0,0
OBS-00209,2022-08-05,East_Region,Clay,Rice,28.4,90.9,26.1,Armyworms,Low,0,0
OBS-00210,2022-08-09,East_Region,Loam,Barley,28.2,73.4,42.9,Armyworms,Low,1,0
OBS-00211,2022-03-19,North_Region,Sandy,Cotton,27.6,84.1,20.6,Beetles,Medium,6,1
OBS-00212,2022-09-19,Central_Valley,Clay,Rice,38.3,55.3,37.4,Blight_Spores,Low,3,0
OBS-00213,2023-07-06,West_Region,Clay,Wheat,23.3,44.8,40.3,Blight_Spores,Low,0,0
OBS-00214,2023-04-16,West_Region,Loam,Rice,26.5,41.6,4.4,Armyworms,Medium,5,1
OBS-00215,2023-10-02,East_Region,Silt,Tomato,38.9,34.3,17.8,Beetles,Medium,5,1
OBS-00216,2022-06-09,East_Region,Clay,Wheat,26.3,78.3,14.0,Whiteflies,Low,3,0
OBS-00217,2023-08-06,East_Region,Sandy,Corn,34.6,67.5,8.4,Beetles,Low,1,0
OBS-00218,2022-05-04,East_Region,Silt,Soybean,24.5,74.2,14.7,Beetles,Low,1,0
OBS-00219,2023-03-09,South_Region,Silt,Wheat,34.5,54.3,3.8,Blight_Spores,High,8,1
OBS-00220,2023-03-15,East_Region,Clay,Barley,32.8,47.6,10.1,Blight_Spores,Medium,5,1
OBS-00221,2022-08-19,West_Region,Sandy,Cotton,28.1,35.2,46.9,Whiteflies,High,7,1
OBS-00222,2022-01-03,West_Region,Silt,Soybean,27.4,33.5,15.5,Whiteflies,Medium,5,1
OBS-00223,2022-09-15,Central_Valley,Clay,Wheat,19.8,86.2,42.2,Beetles,Low,1,0
OBS-00224,2023-05-27,South_Region,Loam,Rice,38.6,79.6,24.1,Aphids,Medium,5,1
OBS-00225,2023-06-04,North_Region,Loam,Rice,27.9,76.4,27.6,Blight_Spores,Low,1,0
OBS-00226,2022-05-07,South_Region,Sandy,Cotton,21.6,46.1,17.8,Beetles,Low,2,0
OBS-00227,2022-11-29,Central_Valley,Clay,Wheat,38.4,38.1,3.8,Aphids,Low,3,0
OBS-00228,2022-07-23,Central_Valley,Loam,Tomato,16.3,34.0,0.7,Blight_Spores,Low,2,0
OBS-00229,2022-12-02,East_Region,Clay,Tomato,25.2,55.1,43.8,Aphids,Low,3,0
OBS-00230,2023-08-05,Central_Valley,Clay,Corn,28.6,56.7,45.6,Blight_Spores,Low,2,0
OBS-00231,2022-05-16,North_Region,Silt,Cotton,22.2,77.0,30.2,Whiteflies,Low,2,0
OBS-00232,2022-08-13,South_Region,Sandy,Corn,16.7,30.6,16.2,Aphids,Low,2,0
OBS-00233,2023-04-26,South_Region,Silt,Corn,10.7,84.3,45.0,Blight_Spores,Medium,6,1
OBS-00234,2022-08-05,Central_Valley,Silt,Soybean,25.3,88.5,24.3,Armyworms,Low,1,0
OBS-00235,2023-10-19,East_Region,Loam,Tomato,37.2,46.2,8.0,Beetles,Medium,5,1
OBS-00236,2023-04-12,North_Region,Clay,Tomato,38.6,45.3,32.3,Blight_Spores,Medium,4,1
OBS-00237,2023-02-06,South_Region,Silt,Tomato,32.3,55.3,16.3,Aphids,Medium,6,1
OBS-00238,2023-01-20,West_Region,Sandy,Tomato,36.5,61.6,9.4,Blight_Spores,Low,3,0
OBS-00239,2023-09-28,North_Region,Loam,Wheat,14.4,33.4,49.6,Blight_Spores,Low,0,0
OBS-00240,2023-06-18,Central_Valley,Silt,Corn,33.6,81.0,36.3,Armyworms,Low,2,0
OBS-00241,2022-11-17,North_Region,Silt,Barley,26.3,56.7,23.4,Beetles,Low,1,0
OBS-00242,2023-02-14,South_Region,Clay,Soybean,37.2,84.2,6.6,Whiteflies,Medium,5,1
OBS-00243,2022-03-02,North_Region,Silt,Soybean,22.5,88.2,27.7,Aphids,Low,2,0
OBS-00244,2023-08-24,West_Region,Clay,Rice,33.1,35.1,27.7,Armyworms,Low,3,0
OBS-00245,2023-04-24,Central_Valley,Silt,Corn,13.9,58.8,18.4,Aphids,Medium,4,1
OBS-00246,2022-04-24,North_Region,Loam,Soybean,25.9,86.1,41.6,Beetles,Low,3,0
OBS-00247,2022-05-20,West_Region,Sandy,Cotton,18.8,80.8,41.1,Whiteflies,Medium,5,1
OBS-00248,2022-07-18,West_Region,Clay,Rice,12.7,37.3,49.1,Armyworms,Low,2,0
OBS-00249,2022-03-07,Central_Valley,Clay,Corn,21.0,42.0,25.2,Beetles,Low,0,0
OBS-00250,2023-03-24,North_Region,Loam,Tomato,28.0,45.5,37.7,Armyworms,Medium,4,1
OBS-00251,2023-01-17,West_Region,Silt,Soybean,11.8,37.9,0.3,Aphids,Low,1,0
OBS-00252,2023-07-28,Central_Valley,Loam,Barley,23.4,67.0,6.6,Armyworms,Low,1,0
OBS-00253,2023-03-01,West_Region,Loam,Tomato,29.7,42.7,9.8,Whiteflies,Medium,6,1
OBS-00254,2023-06-09,East_Region,Sandy,Tomato,34.0,90.0,28.4,Aphids,Medium,4,1
OBS-00255,2022-09-26,South_Region,Silt,Tomato,13.1,54.6,37.0,Beetles,Low,0,0
OBS-00256,2022-02-24,South_Region,Clay,Soybean,35.2,77.0,26.7,Armyworms,Medium,4,1
OBS-00257,2023-02-24,North_Region,Silt,Rice,32.1,39.5,35.8,Beetles,Low,2,0
OBS-00258,2023-10-08,North_Region,Silt,Tomato,16.1,55.7,34.5,Blight_Spores,Low,2,0
